% Model:              burgers2d.mph
% Version:            COMSOL 6.0.0.354
% Date:               Aug 11 2023, 22:16
% Dimension:          2
% Nodes:              12657
% Expressions:        22
% Description:        因变量 u, 因变量 v
% Length unit:        m
% X                       Y                        u (1) @ t=0              v (1) @ t=0              u (1) @ t=0.1            v (1) @ t=0.1            u (1) @ t=0.2            v (1) @ t=0.2            u (1) @ t=0.3            v (1) @ t=0.3            u (1) @ t=0.4            v (1) @ t=0.4            u (1) @ t=0.5            v (1) @ t=0.5            u (1) @ t=0.6            v (1) @ t=0.6            u (1) @ t=0.7            v (1) @ t=0.7            u (1) @ t=0.8            v (1) @ t=0.8            u (1) @ t=0.9            v (1) @ t=0.9            u (1) @ t=1              v (1) @ t=1
0                         0.03999999999999997      -1.9811881704593837      0.5001567079183621       -1.5605511773038412      1.4233164454851444       -1.1640871485538071      0.894835401609147        -0.9932617347421595      0.5413533158993459       -1.314981156673285       1.300266746122388        -1.4024725002058134      1.1761408603258678       -1.5482795279549135      0.8391847612280275       -1.6247580302784925      0.7287122809408189       -1.5962472769520044      1.1923802660246212       -1.5239878113796597      1.1731259490464834       -1.6314036186842606      0.7913929122854656
0                         0                        -2.4419282203389696      0.5969626622510968       -1.5349231530190277      1.1598183904564572       -1.1616509783443774      0.7823522608285365       -0.9635859668441236      0.5508430314749462       -1.278778038695755       1.1149848579686201       -1.5440572531480845      0.995895227380022        -1.5602692576210027      0.7544799607731566       -1.675853788885384       0.6417487532947832       -1.590536154520043       1.1196921290935347       -1.5121232578683144      1.050228403733615        -1.6262086867005892      0.7698839356230908
0.026005257485765133      0.027255748072050813     -1.8467606426586365      0.7569620822334406       -1.4158297198528824      1.3141269369830477       -1.091790498508602       0.8204482301523512       -0.977492967897214       0.4586813135858797       -1.234107668639151       1.2006716205455956       -1.519686645638874       0.9932562694673527       -1.8757915212459406      0.7629319352919788       -1.5344615020556485      0.6649871719491542       -1.5958865689994388      1.3931665965337205       -1.5383287790340097      1.2840489102145045       -1.603412276179356       0.8151657790998714
0.04000000000004045       0                        -1.9967137298221225      0.9789455253597067       -1.3686913484528207      1.1718424821001496       -1.064014260860481       0.7335252375688971       -0.9294247435079158      0.46077385646067154      -1.1612798989051225      1.0321545491896427       -1.5351153161925446      0.9277098773718325       -1.6681047500725075      0.7411631112532745       -1.6125653201074261      0.651316523165569        -1.5894549292753404      1.0640266290750031       -1.4831417178149138      1.146154119405455        -1.5870323655325473      0.771176276822005
0                         0.07999999999999995      -1.4893340872230187      0.21940875198422946      -1.5205722738185752      1.403729998018787        -1.1784017849600248      0.9307670559542235       -1.1229366096456417      0.5309203944080361       -1.3695925453261666      1.528468018110959        -1.0738626573703727      1.1407396204516576       -1.6264313839902471      0.810470452677761        -1.7584229892472625      0.746106053563277        -1.5599803219560273      1.1719446653153274       -1.410755378697744       1.0114767625941383       -1.6265249233177392      0.876426866511902
0.029491326678837193      0.0606604483963486       -1.4208749889158243      0.4978948477164061       -1.4192947039785808      1.364754872703345        -1.1908843050477158      0.7524774798645951       -1.0525578204673722      0.49412186781044926      -1.2512993006193225      1.3691177077923127       -1.411490087653165       1.0493474924146637       -1.7926504865171362      0.8686670344525041       -1.6020646793955666      0.7591037573820384       -1.564472795260268       1.1366167454827345       -1.5189057911771002      1.1021292864543326       -1.5932572921522876      0.8320048264058327
0.08000000000004004       0                        -1.6109226513748374      1.2360942433002398       -1.2488323376255768      1.148244971825076        -0.996218421232869       0.6178715679722749       -0.8524163740435423      0.26929311082772894      -1.1248277894287446      1.148584626877892        -1.4769039020638302      0.8892800989002417       -1.694871104983972       0.7417862774873467       -1.5134949915128046      0.6702714525761776       -1.5803293337546818      1.3178461338217988       -1.7108833810896478      0.7509703322450655       -1.5436706869895538      0.7940353381452324
0.060534960749948005      0.03561829196390548      -1.4312107966821548      0.8555778681501851       -1.3161439318896575      1.2814147741120936       -1.1373813398541006      0.6337977444772217       -0.9695154247392213      0.432805944513203        -1.1555322748114467      1.2159191566482306       -1.4962253582581526      0.9507249404519146       -1.8674960820535067      0.7932236446613922       -1.577659318677002       0.7317277971807551       -1.5785743308595444      1.209775846928397        -1.7381440039877594      1.009522829708141        -1.5670870013974025      0.8203142809501411
0                         0.11999999999999991      -1.1512059548644078      -0.07426587094697992     -1.4494468979751272      -0.0280153174980939      -1.5623041633041208      0.6920418783029564       -1.160346499832903       0.6350489806841898       -0.8943429972518459      0.42272342652886236      -1.0712367050670113      1.1681436401187584       -1.816174867444337       0.9720522302640621       -1.6571678784535189      0.6979852566513666       -1.5149803327815337      1.1340658343472578       -1.5736836513423345      1.4824574752450055       -1.6343351337888061      0.8550110509898728
0.031091388369400154      0.099516899587939        -1.071272931364156       0.10048202876957568      -1.7860603383678837      0.5550908121961294       -1.4265203665609187      0.6662571127712472       -1.087213391045642       0.5912884030647496       -1.2546336841673755      1.4716020811750254       -1.528266084920096       1.042976900248086        -1.7557495977791533      0.7673508791073226       -1.501272968252021       0.8342332454170033       -1.5569634200450324      1.2564323339581238       -1.7400338658463514      1.0553290551506451       -1.592633925949263       0.8809800576486079
